State,1,2,3,4,5,6,7,8,9,10,11,12,Total
Aguascalientes,5,5,7,6,6,5,6,3,4,3,4,0,54
Baja California,77,58,59,59,57,45,61,66,61,44,55,0,642
Baja California Sur,0,5,2,0,4,4,2,4,2,3,2,0,28
Campeche,1,2,2,1,7,1,7,3,6,8,2,0,40
Coahuila,18,20,23,23,21,25,19,16,14,22,18,0,219
Colima,4,6,8,3,4,2,3,7,9,1,2,3,52
Chiapas,32,34,38,36,52,45,50,35,62,27,0,0,411
Chihuahua,221,255,140,157,217,272,293,318,332,318,0,0,2523
Distrito Federal,43,58,66,72,75,61,56,67,72,62,45,0,677
Durango,30,89,96,54,53,125,55,106,90,64,67,101,930
Guanajuato,49,22,35,30,37,30,34,37,36,30,36,0,376
Guerrero,88,124,105,127,109,132,133,113,128,144,0,0,1203
Hidalgo,11,9,8,17,10,10,11,19,12,10,9,0,126
Jalisco,52,34,42,35,48,52,46,54,43,51,0,0,457
México,104,109,111,106,103,113,112,104,87,127,98,0,1174
Michoacán,37,44,61,88,65,71,67,57,58,50,61,0,659
Morelos,20,12,31,18,26,28,32,27,43,26,29,25,317
Nayarit,11,14,12,18,14,6,8,11,12,14,16,0,136
Nuevo León,20,16,7,26,15,13,24,32,31,26,15,0,225
Oaxaca,85,78,91,110,98,68,71,55,20,13,0,0,689
Puebla,49,49,39,27,22,37,35,27,26,44,0,0,355
Querétaro,8,6,5,4,7,8,7,12,8,7,7,0,79
Quintana Roo,16,17,14,14,7,11,22,21,17,14,9,0,162
San Luis Potosí,10,16,9,18,21,14,9,11,15,8,0,0,131
Sinaloa,62,66,107,82,86,89,97,107,134,103,161,157,1251
Sonora,33,37,30,35,31,55,29,40,39,43,51,0,423
Tabasco,14,15,7,10,8,5,8,11,9,8,7,0,102
Tamaulipas,25,29,17,24,27,26,23,19,30,22,30,0,272
Tlaxcala,5,8,2,3,3,4,3,5,4,4,3,0,44
Veracruz,39,22,23,32,29,39,26,31,27,31,20,0,319
Yucatán,2,4,3,0,4,2,4,2,2,4,4,0,31
Zacatecas,36,20,23,20,6,4,10,9,9,6,5,0,148
